Point_Count,System_Time_Unix
19968,1765435761.477410000
20064,1765435761.488720000
20160,1765435761.500090000
20064,1765435761.588540000
19968,1765435763.023480000
20064,1765435763.036590000
19968,1765435763.051640000
19968,1765435763.124640000
20064,1765435763.140100000
19680,1765435763.155100000
19968,1765435763.178620000
19968,1765435763.326980000
19968,1765435764.344210000
20064,1765435764.359460000
19968,1765435764.760590000
20064,1765435764.770540000
19968,1765435765.044350000
20064,1765435765.059780000
19968,1765435766.278380000
20064,1765435766.289750000
20064,1765435766.313740000
19872,1765435766.325530000
19968,1765435766.339290000
19968,1765435766.349960000
20064,1765435766.359720000
19968,1765435766.555400000
19968,1765435767.191450000
20064,1765435767.204860000
20064,1765435767.765880000
19968,1765435767.790310000
19968,1765435767.803800000
19968,1765435767.813620000
19968,1765435768.050870000
19968,1765435768.932000000
19968,1765435769.022220000
19968,1765435769.033350000
20064,1765435769.044200000
20064,1765435769.055610000
19968,1765435769.240170000
19968,1765435769.445570000
19968,1765435769.578530000
20064,1765435769.703040000
20064,1765435769.995910000
19968,1765435770.589450000
20064,1765435770.603540000
19968,1765435770.621610000
19968,1765435770.704520000
19968,1765435770.926170000
19968,1765435771.049000000
19968,1765435771.648380000
19968,1765435771.664710000
19968,1765435771.686090000
19968,1765435771.861000000
20064,1765435771.992260000
19968,1765435772.590260000
20064,1765435772.607040000
20064,1765435772.631650000
20064,1765435772.813340000
19968,1765435772.941620000
20064,1765435773.072990000
20064,1765435773.264710000
19968,1765435773.389960000
19968,1765435773.605710000
20064,1765435773.751650000
20160,1765435773.994690000
20064,1765435774.104640000
20064,1765435774.247240000
19968,1765435774.396960000
19968,1765435774.511650000
19968,1765435774.733900000
20064,1765435774.871100000
19968,1765435775.088040000
20064,1765435775.776020000
19968,1765435775.790300000
20064,1765435775.808250000
19968,1765435775.820940000
19968,1765435775.900480000
20064,1765435776.190350000
19968,1765435776.673860000
19968,1765435776.685580000
20064,1765435776.707460000
20064,1765435776.877980000
19968,1765435777.057800000
19968,1765435777.255200000
19968,1765435777.378810000
19968,1765435777.588270000
20064,1765435777.696880000
19968,1765435777.833520000
19968,1765435778.048340000
19968,1765435778.155720000
19968,1765435778.359500000
19968,1765435778.483290000
19968,1765435779.080890000
20064,1765435779.102830000
19872,1765435779.113470000
20064,1765435779.208130000
19968,1765435779.432190000
19968,1765435779.589520000
19968,1765435780.144450000
19968,1765435780.169270000
19872,1765435780.180860000
19968,1765435780.583290000
19968,1765435780.605560000
19968,1765435780.721050000
20064,1765435780.918270000
19872,1765435781.050490000
20160,1765435781.246660000
19968,1765435781.368510000
19968,1765435782.165220000
20064,1765435782.195150000
19968,1765435782.208050000
19968,1765435782.219150000
19968,1765435782.347400000
19968,1765435782.558780000
19968,1765435782.801980000
20064,1765435782.974680000
19968,1765435783.233510000
20064,1765435783.361970000
20064,1765435783.592470000
19968,1765435783.695940000
20064,1765435783.818280000
20064,1765435784.023020000
19968,1765435784.339220000
19968,1765435784.349090000
20064,1765435784.464800000
19968,1765435784.834900000
20064,1765435784.960770000
19968,1765435785.090110000
19968,1765435785.300100000
19968,1765435786.084860000
19968,1765435786.095460000
19968,1765435786.405770000
19968,1765435786.421220000
19968,1765435786.437620000
20064,1765435786.461400000
19872,1765435786.767420000
19968,1765435786.979310000
19968,1765435787.113380000
19968,1765435787.608520000
19968,1765435787.919930000
19968,1765435787.932140000
19968,1765435787.942300000
19968,1765435788.047810000
20064,1765435788.194460000
19968,1765435788.313410000
19968,1765435788.528930000
19968,1765435789.270360000
19968,1765435789.287670000
19968,1765435789.307180000
19968,1765435789.327030000
20064,1765435789.579650000
20064,1765435789.750430000
19776,1765435789.956870000
19968,1765435790.599300000
20064,1765435790.626840000
19968,1765435790.638180000
19968,1765435790.648410000
20064,1765435790.804870000
19968,1765435790.945800000
19968,1765435791.236570000
20160,1765435791.368740000
19968,1765435791.585890000
19968,1765435791.705340000
19968,1765435791.910150000
19968,1765435792.306370000
19968,1765435792.318030000
20064,1765435792.443750000
20064,1765435792.639540000
19968,1765435792.829830000
19968,1765435792.941160000
20064,1765435793.145560000
19968,1765435793.265680000
19968,1765435793.704580000
20064,1765435793.719850000
19968,1765435793.850250000
20064,1765435794.343520000
20064,1765435794.360430000
19968,1765435794.462550000
19968,1765435794.806120000
19968,1765435794.818680000
19968,1765435794.913840000
20064,1765435795.660980000
19968,1765435795.670430000
19968,1765435795.690770000
20064,1765435795.702530000
19968,1765435796.330570000
19968,1765435796.347340000
19968,1765435796.357980000
19968,1765435796.588480000
20064,1765435796.750910000
20064,1765435797.459740000
19968,1765435797.479720000
19968,1765435797.622720000
20064,1765435797.632520000
19968,1765435797.652630000
19872,1765435797.758330000
20064,1765435797.871170000
19968,1765435798.100400000
20064,1765435798.220500000
19968,1765435799.319380000
20064,1765435799.331900000
19968,1765435799.348670000
19968,1765435799.787140000
19968,1765435799.810440000
19872,1765435799.821810000
20064,1765435799.831790000
19968,1765435799.840040000
19968,1765435800.142710000
19968,1765435801.657490000
19968,1765435801.668700000
20064,1765435801.681630000
19968,1765435801.699130000
20064,1765435801.710480000
19968,1765435801.759440000
19872,1765435801.980370000
20064,1765435802.400370000
20064,1765435802.411170000
19968,1765435802.425270000
19968,1765435804.031380000
20064,1765435804.044530000
19968,1765435804.067460000
20064,1765435804.076450000
19968,1765435804.085550000
20064,1765435804.096190000
20064,1765435804.107370000
19968,1765435805.095670000
20064,1765435805.119940000
19968,1765435805.132800000
20064,1765435805.144030000
20064,1765435805.157900000
19968,1765435805.180740000
20064,1765435805.400940000
19968,1765435805.531060000
19968,1765435806.539910000
20064,1765435806.559780000
19968,1765435806.571170000
19968,1765435806.582810000
