Point_Count,System_Time_Unix
19968,1765435768.998390000
19968,1765435769.006450000
20064,1765435769.020690000
20064,1765435769.026890000
19968,1765435769.232780000
19968,1765435769.441840000
19968,1765435769.570410000
20064,1765435769.694750000
20064,1765435769.986930000
19968,1765435770.578940000
20064,1765435770.585950000
19968,1765435770.590960000
19968,1765435770.696070000
19968,1765435770.920090000
19968,1765435771.040000000
19968,1765435771.642250000
19968,1765435771.648380000
19968,1765435771.653460000
19968,1765435771.851640000
20064,1765435771.984100000
19968,1765435772.580110000
20064,1765435772.586210000
20064,1765435772.591780000
20064,1765435772.800790000
19968,1765435772.930950000
20064,1765435773.063270000
20064,1765435773.260130000
19968,1765435773.382920000
19968,1765435773.601670000
20064,1765435773.744550000
20160,1765435773.977230000
20064,1765435774.094530000
20064,1765435774.241670000
19968,1765435774.387320000
19968,1765435774.505270000
19968,1765435774.727380000
20064,1765435774.859840000
19968,1765435775.082980000
20064,1765435775.770350000
19968,1765435775.776020000
20064,1765435775.780720000
19968,1765435775.785710000
19968,1765435775.891000000
20064,1765435776.182340000
19968,1765435776.669270000
19968,1765435776.675100000
20064,1765435776.680020000
20064,1765435776.868340000
19968,1765435777.047360000
19968,1765435777.246800000
19968,1765435777.369590000
19968,1765435777.573400000
20064,1765435777.690810000
19968,1765435777.827440000
19968,1765435778.036610000
19968,1765435778.147180000
19968,1765435778.353430000
19968,1765435778.479210000
19968,1765435779.071980000
20064,1765435779.080890000
19872,1765435779.094700000
20064,1765435779.194850000
19968,1765435779.411450000
19968,1765435779.581760000
19968,1765435780.114500000
19968,1765435780.130210000
19872,1765435780.160970000
19968,1765435780.570490000
19968,1765435780.575070000
19968,1765435780.711330000
20064,1765435780.913130000
19872,1765435781.044590000
20160,1765435781.238460000
19968,1765435781.363630000
19968,1765435782.160300000
20064,1765435782.166800000
19968,1765435782.175280000
19968,1765435782.194620000
19968,1765435782.338550000
19968,1765435782.554170000
19968,1765435782.792310000
20064,1765435782.963530000
19968,1765435783.229090000
20064,1765435783.358170000
20064,1765435783.572030000
19968,1765435783.690540000
20064,1765435783.808110000
20064,1765435784.018980000
19968,1765435784.330510000
19968,1765435784.335870000
20064,1765435784.460730000
19968,1765435784.826910000
20064,1765435784.948030000
19968,1765435785.086040000
19968,1765435785.290630000
19968,1765435786.080300000
19968,1765435786.085870000
19968,1765435786.401110000
19968,1765435786.406800000
19968,1765435786.410840000
20064,1765435786.418160000
19872,1765435786.762340000
19968,1765435786.973190000
19968,1765435787.101900000
19968,1765435787.604480000
19968,1765435787.914750000
19968,1765435787.919930000
19968,1765435787.925030000
19968,1765435788.035540000
20064,1765435788.183490000
19968,1765435788.300700000
19968,1765435788.519840000
19968,1765435789.249100000
19968,1765435789.258260000
