Frame 111: Points: 20064 | Time: 1763886745812115674 ns
Frame 112: Points: 19872 | Time: 1763886745912199665 ns
Frame 113: Points: 20064 | Time: 1763886746112059056 ns
Frame 114: Points: 19968 | Time: 1763886746212192528 ns
Frame 115: Points: 19968 | Time: 1763886746412064790 ns
Frame 116: Points: 20064 | Time: 1763886746512044782 ns
Frame 117: Points: 19968 | Time: 1763886746612169772 ns
Frame 118: Points: 19968 | Time: 1763886746812222107 ns
Frame 119: Points: 20064 | Time: 1763886747012047813 ns
Frame 120: Points: 19968 | Time: 1763886747112206581 ns
Frame 121: Points: 19968 | Time: 1763886747312072343 ns
Frame 122: Points: 19968 | Time: 1763886747512115326 ns
Frame 123: Points: 20064 | Time: 1763886747612066781 ns
Frame 124: Points: 19968 | Time: 1763886747812098912 ns
Frame 125: Points: 19968 | Time: 1763886747912069885 ns
Frame 126: Points: 19968 | Time: 1763886748112157108 ns
Frame 127: Points: 19968 | Time: 1763886748212089008 ns
Frame 128: Points: 20064 | Time: 1763886748312013759 ns
Frame 129: Points: 20064 | Time: 1763886748512067020 ns
Frame 130: Points: 20064 | Time: 1763886748711944337 ns
Frame 131: Points: 19968 | Time: 1763886748812053198 ns
Frame 132: Points: 19488 | Time: 1763886748912001339 ns
Frame 133: Points: 19872 | Time: 1763886749111981026 ns
Frame 134: Points: 20064 | Time: 1763886749212107072 ns
Frame 135: Points: 19968 | Time: 1763886749411938427 ns
Frame 136: Points: 20064 | Time: 1763886749512132009 ns
Frame 137: Points: 19296 | Time: 1763886749711912439 ns
Frame 138: Points: 20640 | Time: 1763886749810989048 ns
Frame 139: Points: 20064 | Time: 1763886750012079301 ns
Frame 140: Points: 19968 | Time: 1763886750112174885 ns
Frame 141: Points: 19968 | Time: 1763886750312240441 ns
Frame 142: Points: 19968 | Time: 1763886750412176600 ns
Frame 143: Points: 20064 | Time: 1763886750512068833 ns
Frame 144: Points: 20064 | Time: 1763886750712311129 ns
Frame 145: Points: 20064 | Time: 1763886750812182400 ns
Frame 146: Points: 19776 | Time: 1763886750912889868 ns
Frame 147: Points: 20064 | Time: 1763886751112195264 ns
Frame 148: Points: 19968 | Time: 1763886751212468920 ns
Frame 149: Points: 20064 | Time: 1763886751412135998 ns
Frame 150: Points: 19968 | Time: 1763886751512104768 ns
Frame 151: Points: 20064 | Time: 1763886751712090973 ns
Frame 152: Points: 19968 | Time: 1763886751812210001 ns
Frame 153: Points: 19968 | Time: 1763886752112011089 ns
Frame 154: Points: 20064 | Time: 1763886752212182135 ns
Frame 155: Points: 19968 | Time: 1763886752412030008 ns
Frame 156: Points: 20064 | Time: 1763886752512306757 ns
Frame 157: Points: 19968 | Time: 1763886752712068835 ns
Frame 158: Points: 19872 | Time: 1763886752812068549 ns
Frame 159: Points: 20160 | Time: 1763886752911439156 ns
Frame 160: Points: 19872 | Time: 1763886753111684323 ns
Frame 161: Points: 19872 | Time: 1763886753312276561 ns
Frame 162: Points: 20064 | Time: 1763886753412220146 ns
Frame 163: Points: 19968 | Time: 1763886753612209740 ns
Frame 164: Points: 19872 | Time: 1763886753712070326 ns
Frame 165: Points: 19968 | Time: 1763886753912227900 ns
Frame 166: Points: 20064 | Time: 1763886754012115893 ns
Frame 167: Points: 19968 | Time: 1763886754112113107 ns
Frame 168: Points: 20064 | Time: 1763886754412217581 ns
Frame 169: Points: 19968 | Time: 1763886754512279906 ns
Frame 170: Points: 19968 | Time: 1763886754712183779 ns
Frame 171: Points: 20064 | Time: 1763886754812081734 ns
Frame 172: Points: 20064 | Time: 1763886755012049551 ns
Frame 173: Points: 19584 | Time: 1763886755112193616 ns
Frame 174: Points: 19968 | Time: 1763886755312196507 ns
Frame 175: Points: 19872 | Time: 1763886755412107073 ns
Frame 176: Points: 19968 | Time: 1763886755612211908 ns
Frame 177: Points: 20064 | Time: 1763886755812069948 ns
Frame 178: Points: 19296 | Time: 1763886755912392085 ns
Frame 179: Points: 20064 | Time: 1763886756112018368 ns
Frame 180: Points: 19968 | Time: 1763886756212200821 ns
Frame 181: Points: 20064 | Time: 1763886756312145499 ns
Frame 182: Points: 19872 | Time: 1763886756512348518 ns
Frame 183: Points: 19968 | Time: 1763886756712235020 ns
Frame 184: Points: 19968 | Time: 1763886756812244290 ns
Frame 185: Points: 20064 | Time: 1763886756912067190 ns
Frame 186: Points: 19968 | Time: 1763886757112164581 ns
Frame 187: Points: 19968 | Time: 1763886757212061092 ns
Frame 188: Points: 20160 | Time: 1763886757411590134 ns
Frame 189: Points: 19968 | Time: 1763886757512111067 ns
Frame 190: Points: 19968 | Time: 1763886757712203050 ns
Frame 191: Points: 20064 | Time: 1763886757812081950 ns
Frame 192: Points: 20544 | Time: 1763886758011475938 ns
Frame 193: Points: 19968 | Time: 1763886758212111268 ns
